#{"t_start": 1789913165.6218975, "env_id": "None"}
r,l,t
-32397.72529,601,25.931944
-32379.542567,601,44.134052
-31908.244852,601,50.823043
-36794.149265,601,55.775489
-34165.305312,601,61.99223
-32851.266683,601,67.183838
-34218.627726,601,73.442915
-33961.366328,601,77.993254
-34301.415772,601,85.685323
-34155.315523,601,91.207695
-35585.723297,601,97.127686
-33196.545846,601,101.730372
-35894.236928,601,107.789205
-33338.153594,601,113.073994
-34317.82027,601,120.492273
-33458.353915,601,125.633776
-32733.377866,601,130.678094
-32863.57986,601,137.540693
-33674.530292,601,142.843
-32897.827197,601,149.165776
-32763.749001,601,153.808066
-32716.214381,601,165.1287
-32860.622397,601,181.872565
-31503.867542,601,197.272208
-33500.425863,601,215.421604
-33096.598819,601,238.803027
-32625.838125,601,258.93375
-32216.436798,601,282.77075
-31945.457364,601,301.171953
-33280.001803,601,325.78991
-32791.80926,601,344.755877
-32025.113178,601,370.281744
-31680.443264,601,390.165571
-32767.817315,601,409.089745
-32647.607715,601,434.256998
-34263.588939,601,456.985177
-32309.970684,601,481.589718
-31721.059623,601,500.005268
-32439.660562,601,523.939994
-31732.874571,601,544.621385
-32295.651944,601,569.198556
-32036.799054,601,587.772725
-32247.557112,601,608.0892
-32289.201336,601,613.795997
-31848.15148,601,620.223341
-31663.212274,601,624.881453
-31986.359977,601,631.248607
-31561.10449,601,635.929186
-31223.301227,601,642.789791
-32373.623609,601,647.412402
-32441.632593,601,652.112647
-30963.252273,601,658.398641
-31794.014435,601,663.715169
