#{"t_start": 1789913944.353146, "env_id": "None"}
r,l,t
-33566.629576,601,30.512607
-32549.872039,601,36.438879
-32662.716083,601,44.098972
-35371.627828,601,50.782642
-34305.298617,601,58.592649
-33387.241213,601,64.573776
-32924.800221,601,70.81812
-35023.82951,601,76.397127
-32843.712218,601,83.821859
-32721.730389,601,89.300371
-35025.224907,601,96.681369
-33488.125679,601,102.033372
-31956.36402,601,108.804279
-33961.628939,601,114.362569
-30274.055893,601,121.537916
-33295.558517,601,127.143615
-33907.868564,601,132.153107
-35120.436813,601,142.815962
-36141.209135,601,164.119907
-34700.054591,601,180.454895
-33051.679187,601,194.942837
-30521.925474,601,210.895667
-36344.737913,601,231.006362
-36610.927436,601,254.872155
-40337.96881,601,272.210224
-33124.971568,601,295.763232
-34775.23168,601,316.93377
-36989.776696,601,340.362485
-37467.200463,601,351.197817
-39069.471829,601,374.834558
-36449.567935,601,393.488694
-36964.581488,601,416.964575
-38459.51518,601,435.36504
-35159.726403,601,453.694873
-38246.179192,601,477.507807
-38145.179168,601,497.52564
-38482.540333,601,521.309121
-36545.612299,601,539.46571
-37203.848697,601,564.980198
-35915.4498,601,586.414284
-32506.059362,601,611.760041
-35803.004044,601,631.80616
-35302.139299,601,657.128659
-37459.751884,601,677.901375
-36345.138195,601,702.402386
-34366.738224,601,721.103244
-35513.748458,601,745.616065
-35459.603089,601,766.104132
-33769.143801,601,790.328223
-33656.150599,601,808.367139
-35478.849464,601,826.291113
-34581.31022,601,850.315854
-34242.46217,601,869.631607
