milestone,model_num_timesteps,approx_kl,clip_fraction,entropy_loss,explained_variance,policy_gradient_loss,value_loss,learning_rate
50000,50000,0.016702294,0.0804833984375,-0.6844636309146881,0.7110585570335388,-0.004087899202713743,0.023788259983994066,0.00045904
100000,100000,0.007031472,0.033662109375,-0.6614103025197983,0.952540397644043,-0.0027600872807670386,0.005615725985262543,0.00041808000000000004
150000,150000,0.008395834,0.0390478515625,-0.5895823711156845,0.9878377914428711,-0.0038558221375569702,0.002846525318454951,0.00035664000000000003
200000,200000,0.0043481747,0.030849609375,-0.5666577351093293,0.9936167597770691,-0.003750505363568664,0.0020551651157438757,0.00031568
250000,250000,0.0063475384,0.04716796875,-0.5101242431998253,0.9930021166801453,-0.005816779842134565,0.0017242165957577526,0.00025424000000000003
300000,300000,0.008947843,0.0493896484375,-0.5054622673988343,0.9958999752998352,-0.004821229339577258,0.0011771063384367153,0.00021328000000000002
350000,350000,0.006011673,0.0319140625,-0.46636248618364334,0.997779369354248,-0.003879967767279595,0.0007625240756897255,0.00015183999999999998
400000,400000,0.0054106535,0.025556640625,-0.4642289215326309,0.9978253245353699,-0.00410635642008856,0.0006644734996370972,0.00011087999999999998
450000,450000,0.0043335566,0.0200732421875,-0.3818817088007927,0.9977818131446838,-0.003811338308732957,0.0005560491164214909,6.991999999999998e-05
500000,500000,0.0034797837,0.0094189453125,-0.2828243699669838,0.9981460571289062,-0.0015350271761417388,0.0004840623409836553,8.479999999999988e-06
