milestone,model_num_timesteps,approx_kl,clip_fraction,entropy_loss,explained_variance,policy_gradient_loss,value_loss,learning_rate
50000,50000,0.010375233,0.04615234375,-0.6651701074838638,0.668231189250946,-0.004652993225026876,0.027014882769435644,0.0004744
100000,100000,0.0089671435,0.051328125,-0.653156441450119,0.9494629502296448,-0.005151982742827386,0.0126410600123927,0.0004488
150000,150000,0.012185516,0.0986962890625,-0.5723649477958679,0.9798586368560791,-0.006775552199687809,0.005341844179201871,0.0004104
200000,200000,0.009483207,0.0697119140625,-0.521946271955967,0.9914607405662537,-0.00601274655200541,0.003420772256795317,0.00038480000000000003
250000,250000,0.009599556,0.0716796875,-0.4679347476363182,0.992761492729187,-0.00763392566004768,0.0036015720467548816,0.00034640000000000007
300000,300000,0.009178046,0.0554296875,-0.4369557097554207,0.9957172274589539,-0.007243477220181376,0.0027330108056776224,0.0003208
350000,350000,0.0092977835,0.057080078125,-0.38134770274162294,0.9968406558036804,-0.008375602611340582,0.002010043429909274,0.0002824
400000,400000,0.008634022,0.058779296875,-0.37901603370904924,0.9975271821022034,-0.008588283811695874,0.00199885269976221,0.0002568
450000,450000,0.018754072,0.066455078125,-0.41200417786836624,0.9972515106201172,-0.009945872398093343,0.0017979590210597963,0.0002312
500000,500000,0.012223309,0.0606494140625,-0.4552296015620232,0.987622857093811,-0.009039406228112057,0.0024000929039902984,0.00019280000000000002
550000,550000,0.01678007,0.090302734375,-0.454201697409153,0.9855964183807373,-0.011753297951072455,0.0025749416288454088,0.00016720000000000003
600000,600000,0.0062373104,0.0359716796875,-0.36564049661159514,0.9904990792274475,-0.0076487799873575565,0.0017628124519251287,0.00012880000000000004
650000,650000,0.005237407,0.0275830078125,-0.3637977936863899,0.9934816360473633,-0.007554929228499532,0.0012789234711090103,0.00010320000000000001
700000,700000,0.0059721987,0.03404296875,-0.3708475625514984,0.9949824213981628,-0.007608282009605318,0.000946200579055585,6.480000000000003e-05
750000,750000,0.004077279,0.02234375,-0.38437255293130873,0.9948549270629883,-0.0051283391658216715,0.0009608154586749152,3.920000000000001e-05
800000,800000,7.576857e-05,0.0,-0.3405173099040985,0.9919785261154175,-0.0001807518652640283,0.0022780781798064707,8.000000000000229e-07
