#{"t_start": 1789968648.9196513, "env_id": "None"}
r,l,t
-71134.85655,601,18.343577
-66736.594924,601,22.033018
-65481.395892,601,26.698767
-65435.469028,601,30.533192
-65523.363895,601,35.453042
-65661.034952,601,39.592751
-66155.4027,601,44.31678
-66904.201353,601,48.763123
-66165.647205,601,53.938916
-66183.743557,601,58.410647
-66457.420618,601,63.58982
-66664.547174,601,68.99341
-66025.880428,601,76.311619
-66095.73038,601,83.20407
-67044.677113,601,91.400572
-66138.655315,601,98.473627
-66524.84242,601,105.407148
-66279.384485,601,114.654286
-65586.73059,601,121.695035
-66143.270845,601,130.442699
-65847.852958,601,137.308718
-65767.185565,601,146.099557
-65984.416173,601,153.431322
-66501.676374,601,161.913341
-65716.293749,601,168.878969
-66619.217577,601,177.967087
-66598.732935,601,185.648174
-66819.685428,601,194.202149
-66020.960817,601,201.159979
-65849.827971,601,209.997936
-65560.496967,601,217.643388
-66745.940349,601,226.488973
-66790.60495,601,233.498959
-66445.262146,601,240.405551
-66247.506008,601,249.795298
-66610.04261,601,256.534669
-65783.438011,601,265.258631
-66278.823166,601,272.355642
-66439.096552,601,281.540137
-65813.497029,601,288.524266
-65515.872201,601,297.142582
-65344.73499,601,304.175449
-65670.72059,601,313.512351
-66012.178766,601,320.248296
-66516.996845,601,328.555905
-65832.98632,601,335.219871
-66373.369209,601,344.241388
-65359.735309,601,351.042849
-65244.508143,601,359.854243
-67055.017773,601,366.491688
-65972.018227,601,373.519849
-67028.367252,601,382.222884
-66395.046126,601,388.655609
-65623.580213,601,396.724736
-65822.810554,601,403.246549
-65552.431769,601,411.914108
-66074.694212,601,418.215279
-66459.237875,601,426.298979
-66379.714231,601,432.767204
-66432.811598,601,441.357937
-66080.232941,601,447.742324
-67089.543836,601,455.712898
-66454.215758,601,462.170314
-65872.076737,601,471.062927
-67819.727746,601,477.602646
-65908.39487,601,484.1936
-65680.269763,601,492.235617
-66679.307999,601,499.653634
-66153.660573,601,507.777415
-66029.865886,601,514.421945
-66133.082045,601,522.508543
-65539.350347,601,529.600463
-66573.917431,601,537.899736
-66588.051574,601,544.439559
-65052.978235,601,552.652334
-66605.612784,601,559.862412
-65959.125002,601,568.47122
-65894.859316,601,575.187699
-65605.53178,601,583.399168
-65403.194934,601,590.619448
-66369.65424,601,599.668945
-66105.532338,601,606.534236
-66816.698102,601,613.460435
-65628.392212,601,622.154239
-65006.741284,601,629.779077
