#{"t_start": 1789990853.9142225, "env_id": "None"}
r,l,t
-41164.998854,601,13.044708
-41248.851727,601,21.938248
-42628.241304,601,32.936278
-43368.59048,601,41.643379
-40479.711755,601,52.928391
-43704.62185,601,62.088878
-47169.402989,601,72.898993
-42906.445979,601,81.564555
-43196.334093,601,92.667291
-47331.993732,601,101.832372
-48449.418648,601,112.694583
-48456.348835,601,121.436973
-48059.099317,601,132.159196
-46436.207923,601,141.249537
-46464.946974,601,152.081691
-52882.024331,601,160.812357
-51021.116863,601,169.348126
-52190.815648,601,180.337121
-50873.62631,601,189.336457
-53222.644946,601,200.018275
-53075.360963,601,208.352265
-52448.497821,601,218.879911
-55488.963444,601,227.732398
-58718.512087,601,238.235279
-56196.049178,601,246.174512
-50909.119891,601,256.557992
-53279.477232,601,265.198937
-50653.989088,601,275.638565
-56908.501228,601,283.486926
-57760.093856,601,293.736503
-51434.374223,601,302.421407
-59901.592173,601,312.580362
-58834.248012,601,320.542606
-54714.339971,601,328.381163
-53743.585575,601,339.459574
-54515.459363,601,347.401042
-53475.239546,601,357.883426
-51612.463645,601,365.943062
-55676.95787,601,377.132973
-50579.920725,601,385.189049
-50073.634599,601,395.487647
-53642.612964,601,403.561198
-51561.236858,601,414.40033
-52448.186667,601,422.550342
-48829.37097,601,433.237038
-44054.170676,601,441.602766
-44545.148823,601,452.218795
-41396.953621,601,461.523216
-38759.596869,601,472.224549
-46905.088059,601,480.673267
-40366.071299,601,489.420251
-43968.418368,601,501.363895
-41678.742741,601,509.945002
-41960.9825,601,520.651337
-42438.207421,601,529.372436
-43735.401292,601,541.322868
-39700.798541,601,549.85971
-41265.132341,601,560.885921
-38411.918158,601,569.574706
-39892.719075,601,581.246611
-37663.654943,601,589.763026
-38458.388629,601,600.748907
-39631.561675,601,609.189921
-37346.842381,601,620.776574
-37814.204255,601,629.442999
-35562.17307,601,637.832664
-34855.811668,601,649.052825
-36222.474954,601,658.048617
-38246.92135,601,669.250801
-36399.697362,601,677.52983
-35427.68098,601,688.085429
-36261.873069,601,696.364371
-33958.96139,601,707.841872
-37094.309838,601,716.038727
-34611.252137,601,726.620405
-36980.849947,601,734.802324
-34516.632807,601,745.855331
-33529.498879,601,753.791993
-34737.305554,601,763.958684
-34807.398322,601,771.861002
-35953.276077,601,782.894382
-32667.903947,601,790.748795
-36013.482071,601,798.687842
-35918.926737,601,808.909553
-36315.060848,601,817.670499
