type,row,contrast,control,treatment,control_late_Jsys,treatment_late_Jsys,improvement_control_minus_treatment,improvement_pct,method,value
representation,E0,FUTURE,M0,M1,381.01200000000006,329.69933333333336,51.3126666666667,13.467467341361084,,
representation,E0,UQ_on_Shared,M1,M2,329.69933333333336,372.47,-42.77066666666667,-12.972627585941941,,
representation,E0,AC_on_Shared,M1,M3,329.69933333333336,315.29200000000003,14.407333333333327,4.369839995632382,,
representation,E0,AC_on_SharedUQ,M2,M4,372.47,354.98266666666666,17.487333333333368,4.694964247679912,,
representation,E0,UQ_on_SharedAC,M3,M4,315.29200000000003,354.98266666666666,-39.69066666666663,-12.588542261353483,,
representation,E1,FUTURE,M0,M1,65.52533333333334,83.55733333333333,-18.031999999999996,-27.519127462152035,,
representation,E1,UQ_on_Shared,M1,M2,83.55733333333333,88.80533333333332,-5.2479999999999905,-6.280717431543998,,
representation,E1,AC_on_Shared,M1,M3,83.55733333333333,92.36,-8.802666666666667,-10.534882236548158,,
representation,E1,AC_on_SharedUQ,M2,M4,88.80533333333332,182.1706666666667,-93.36533333333338,-105.13482673713297,,
representation,E1,UQ_on_SharedAC,M3,M4,92.36,182.1706666666667,-89.8106666666667,-97.2397863432944,,
representation,E2,FUTURE,M0,M1,92.67933333333335,87.43533333333333,5.244000000000014,5.658219380084751,,
representation,E2,UQ_on_Shared,M1,M2,87.43533333333333,158.23533333333333,-70.8,-80.97412945186157,,
representation,E2,AC_on_Shared,M1,M3,87.43533333333333,91.93666666666665,-4.501333333333321,-5.148185706769941,,
representation,E2,AC_on_SharedUQ,M2,M4,158.23533333333333,151.68266666666665,6.552666666666681,4.141089432195937,,
representation,E2,UQ_on_SharedAC,M3,M4,91.93666666666665,151.68266666666665,-59.745999999999995,-64.9860411152605,,
representation,E4,FUTURE,M0,M1,260.9526666666667,236.46466666666666,24.488000000000028,9.384077316703678,,
representation,E4,UQ_on_Shared,M1,M2,236.46466666666666,256.116,-19.651333333333326,-8.310473446349981,,
representation,E4,AC_on_Shared,M1,M3,236.46466666666666,223.988,12.47666666666666,5.27633444883943,,
representation,E4,AC_on_SharedUQ,M2,M4,256.116,226.75933333333333,29.356666666666655,11.462254082785401,,
representation,E4,UQ_on_SharedAC,M3,M4,223.988,226.75933333333333,-2.771333333333331,-1.2372686632021943,,
representation,E5,FUTURE,M0,M1,228.93466666666663,224.5786666666667,4.355999999999938,1.9027262508663048,,
representation,E5,UQ_on_Shared,M1,M2,224.5786666666667,224.76,-0.18133333333329915,-0.08074379282091167,,
representation,E5,AC_on_Shared,M1,M3,224.5786666666667,225.87733333333335,-1.2986666666666622,-0.578268045643989,,
representation,E5,AC_on_SharedUQ,M2,M4,224.76,223.93733333333336,0.8226666666666347,0.3660200510173673,,
representation,E5,UQ_on_SharedAC,M3,M4,225.87733333333335,223.93733333333336,1.9399999999999977,0.8588732527389487,,
representation,J0,FUTURE,M0,M1,230.06066666666666,297.40666666666664,-67.34599999999998,-29.273148242057882,,
representation,J0,UQ_on_Shared,M1,M2,297.40666666666664,269.71,27.69666666666666,9.3127255609603,,
representation,J0,AC_on_Shared,M1,M3,297.40666666666664,365.568,-68.16133333333335,-22.918562686332976,,
representation,J0,AC_on_SharedUQ,M2,M4,269.71,184.80733333333336,84.90266666666662,31.47924313769109,,
representation,J0,UQ_on_SharedAC,M3,M4,365.568,184.80733333333336,180.76066666666662,49.446523401027065,,
representation,J1,FUTURE,M0,M1,325.89533333333327,363.41333333333336,-37.518000000000086,-11.512285130399768,,
representation,J1,UQ_on_Shared,M1,M2,363.41333333333336,349.61333333333334,13.800000000000011,3.797329028470798,,
representation,J1,AC_on_Shared,M1,M3,363.41333333333336,206.34866666666667,157.06466666666668,43.21929116524802,,
representation,J1,AC_on_SharedUQ,M2,M4,349.61333333333334,242.03866666666664,107.5746666666667,30.769612142938875,,
representation,J1,UQ_on_SharedAC,M3,M4,206.34866666666667,242.03866666666664,-35.68999999999997,-17.295968312532494,,
representation,J2,FUTURE,M0,M1,171.48999999999998,252.304,-80.81400000000002,-47.12461368009799,,
representation,J2,UQ_on_Shared,M1,M2,252.304,340.3793333333333,-88.0753333333333,-34.90841735895321,,
