"Cell","TrainMin","PostAnalysisMin","ActiveMin","FPS","Start","End"
"E0__M0","9.56","1.83","11.4","1427.9","2026/9/21 0:58:20","2026/9/21 1:09:44"
"E0__M1","10.5","2.07","12.57","1300.4","2026/9/21 1:09:44","2026/9/21 1:22:18"
"E0__M2","11.45","2.25","13.7","1192.2","2026/9/21 1:22:18","2026/9/21 1:36:01"
"E0__M3","11.73","2.33","14.06","1164.4","2026/9/21 1:36:00","2026/9/21 1:50:04"
"E0__M4","12.65","2.55","15.2","1079.7","2026/9/21 1:50:04","2026/9/21 2:05:16"
"E1__M0","9.47","1.88","11.36","1441.4","2026/9/21 2:05:15","2026/9/21 2:16:37"
"E1__M1","10.32","2.1","12.42","1323.3","2026/9/21 2:16:36","2026/9/21 2:29:02"
"E1__M2","11.5","2.33","13.83","1187.7","2026/9/21 2:29:01","2026/9/21 2:42:51"
"E1__M3","10.86","2.18","13.04","1257.6","2026/9/21 2:42:51","2026/9/21 2:55:54"
"E1__M4","12.17","2.43","14.61","1121.6","2026/9/21 2:55:54","2026/9/21 3:10:31"
"E2__M0","28.35","8.08","36.43","481.6","2026/9/21 8:16:23","2026/9/21 8:52:50"
"E2__M1","30.1","8.83","38.93","453.6","2026/9/21 8:52:51","2026/9/21 9:31:47"
"E2__M2","31.63","9.93","41.56","431.7","2026/9/21 9:31:47","2026/9/21 10:13:21"
"E2__M3","30.72","9.33","40.05","444.5","2026/9/21 10:13:21","2026/9/21 10:53:25"
"E2__M4","32.35","10.38","42.73","422.1","2026/9/21 10:53:26","2026/9/21 11:36:10"
"E4__M0","28.84","8.12","36.95","473.5","2026/9/21 11:36:10","2026/9/21 12:13:08"
"E4__M1","30.14","9.05","39.19","453","2026/9/21 12:13:08","2026/9/21 12:52:20"
"E4__M2","24.98","8.78","33.76","546.6","2026/9/21 12:52:20","2026/9/21 13:26:06"
"E4__M3","10.67","2.53","13.2","1279.7","2026/9/21 13:30:40","2026/9/21 13:43:53"
"E4__M4","11.67","2.8","14.47","1169.6","2026/9/21 13:43:52","2026/9/21 13:58:21"
"E5__M0","10.96","2.13","13.09","1246","2026/9/21 13:58:21","2026/9/21 14:11:27"
"E5__M1","11.23","2.38","13.61","1216.3","2026/9/21 14:11:27","2026/9/21 14:25:04"
"E5__M2","11.38","2.67","14.04","1200.2","2026/9/21 14:25:03","2026/9/21 14:39:06"
"E5__M3","11.24","2.52","13.76","1214.3","2026/9/21 14:39:05","2026/9/21 14:52:51"
"E5__M4","11.91","2.8","14.71","1146.5","2026/9/21 14:52:51","2026/9/21 15:07:34"
"J0__M0","11.17","2.12","13.28","1222.7","2026/9/21 15:47:34","2026/9/21 16:00:52"
"J0__M1","10.99","2.33","13.32","1242.6","2026/9/21 16:00:52","2026/9/21 16:14:12"
"J0__M2","11.51","2.57","14.08","1186.1","2026/9/21 16:14:12","2026/9/21 16:28:17"
"J0__M3","11.35","2.47","13.82","1202.5","2026/9/21 16:28:16","2026/9/21 16:42:06"
"J0__M4","11.86","2.75","14.61","1150.9","2026/9/21 16:42:06","2026/9/21 16:56:43"
"J1__M0","12.42","2.58","15","1099.3","2026/9/21 16:56:42","2026/9/21 17:11:43"
"J1__M1","12.67","2.77","15.43","1077.8","2026/9/21 17:11:42","2026/9/21 17:27:09"
"J1__M2","12.76","3.02","15.78","1070","2026/9/21 17:27:09","2026/9/21 17:42:56"
"J1__M3","12.84","2.9","15.74","1063.4","2026/9/21 17:42:55","2026/9/21 17:58:40"
"J1__M4","13.3","3.15","16.45","1026.4","2026/9/21 17:58:39","2026/9/21 18:15:07"
"J2__M0","10.85","2.15","13","1258.8","2026/9/21 18:15:07","2026/9/21 18:28:07"
"J2__M1","11.19","2.35","13.54","1219.6","2026/9/21 18:28:07","2026/9/21 18:41:40"
"J2__M2","11.44","2.58","14.02","1193.7","2026/9/21 18:41:39","2026/9/21 18:55:41"
"J2__M3","11.17","2.45","13.62","1222.4","2026/9/21 18:55:40","2026/9/21 19:09:18"
"J2__M4","11.83","2.72","14.55","1154","2026/9/21 19:09:18","2026/9/21 19:23:51"
"J3__M0","13.87","2.93","16.8","984.4","2026/9/21 19:23:50","2026/9/21 19:40:39"
"J3__M1","13.92","3.13","17.06","980.7","2026/9/21 19:40:39","2026/9/21 19:57:43"
"J3__M2","14.38","3.42","17.8","949.4","2026/9/21 19:57:44","2026/9/21 20:15:32"
"J3__M3","14.11","3.28","17.39","967.9","2026/9/21 20:15:31","2026/9/21 20:32:55"
"J3__M4","14.68","3.43","18.11","930.1","2026/9/21 20:32:55","2026/9/21 20:51:02"
