cell_id,row,method,status,elapsed_seconds,late_Jsys_mean,late_Jsys_std
E0__M0,E0,M0,DONE,0.0,381.01200000000006,6.289071862277357
E0__M1,E0,M1,DONE,0.0010998249053955078,329.69933333333336,4.69138946487189
E0__M2,E0,M2,DONE,0.0,372.47,6.520280498397089
E0__M3,E0,M3,DONE,0.0,315.29200000000003,8.268548871745537
E0__M4,E0,M4,DONE,0.0009808540344238281,354.98266666666666,8.447276063257847
E1__M0,E1,M0,DONE,0.0,65.52533333333334,2.344481558421345
E1__M1,E1,M1,DONE,0.0010504722595214844,83.55733333333333,3.678457043683152
E1__M2,E1,M2,DONE,0.0,88.80533333333332,3.5267855052441126
E1__M3,E1,M3,DONE,0.0,92.36,1.3243044295864195
E1__M4,E1,M4,DONE,0.0,182.1706666666667,14.004067885201554
E2__M0,E2,M0,DONE,0.0,92.67933333333335,1.9108478630062535
E2__M1,E2,M1,DONE,0.0,87.43533333333333,1.4720335141112377
E2__M2,E2,M2,DONE,0.0,158.23533333333333,37.825532446865694
E2__M3,E2,M3,DONE,0.0011036396026611328,91.93666666666665,1.8068388601827952
E2__M4,E2,M4,DONE,0.0010554790496826172,151.68266666666665,35.89370557013521
E4__M0,E4,M0,DONE,0.0,260.9526666666667,0.5921688948264628
E4__M1,E4,M1,DONE,0.0,236.46466666666666,3.9092656883642745
E4__M2,E4,M2,DONE,0.0,256.116,16.577813071156946
E4__M3,E4,M3,DONE,0.0,223.988,0.8363003182004736
E4__M4,E4,M4,DONE,0.0010471343994140625,226.75933333333333,1.2482759666391443
E5__M0,E5,M0,DONE,0.0,228.93466666666663,1.7991054567324398
E5__M1,E5,M1,DONE,0.0009322166442871094,224.5786666666667,1.0494307451608633
E5__M2,E5,M2,DONE,0.0,224.76,0.28854423885737024
E5__M3,E5,M3,DONE,0.0,225.87733333333335,2.058890100137572
E5__M4,E5,M4,DONE,0.001125335693359375,223.93733333333336,0.4706421145626531
J0__M0,J0,M0,DONE,796.8644058704376,230.06066666666666,21.676644820328317
J0__M1,J0,M1,DONE,799.4921333789825,297.40666666666664,11.647091959416773
J0__M2,J0,M2,DONE,844.5578734874725,269.71,5.894008634009434
J0__M3,J0,M3,DONE,829.4942157268524,365.568,8.051537768926146
J0__M4,J0,M4,DONE,876.3439264297485,184.80733333333336,12.232693425588844
J1__M0,J1,M0,DONE,900.1903800964355,325.89533333333327,4.014779695076679
J1__M1,J1,M1,DONE,925.9353199005127,363.41333333333336,9.050090238960799
J1__M2,J1,M2,DONE,946.8069880008698,349.61333333333334,2.5809300649184506
J1__M3,J1,M3,DONE,944.002982378006,206.34866666666667,11.325145787631662
J1__M4,J1,M4,DONE,987.0760645866394,242.03866666666664,11.238815991415144
J2__M0,J2,M0,DONE,779.5244297981262,171.48999999999998,33.900920931443736
J2__M1,J2,M1,DONE,812.6917853355408,252.304,19.397223673047186
J2__M2,J2,M2,DONE,841.2839758396149,340.3793333333333,5.6951282884779895
J2__M3,J2,M3,DONE,817.1805505752563,243.3213333333333,19.507849428712873
J2__M4,J2,M4,DONE,872.2931199073792,223.39333333333335,8.624721831263109
J3__M0,J3,M0,DONE,1008.6302509307861,329.062,9.638349697375007
J3__M1,J3,M1,DONE,1023.9811398983002,252.79933333333332,15.095712474444893
J3__M2,J3,M2,DONE,1067.9947984218597,231.5653333333333,15.240756557482452
J3__M3,J3,M3,DONE,1042.9892654418945,340.73266666666666,12.854747052267417
J3__M4,J3,M4,DONE,1087.6012709140778,299.2026666666667,26.544814551161497
