#{"t_start": 1789951979.0919423, "env_id": "None"}
r,l,t
-38231.246718,601,40.859088
-38040.081357,601,59.05899
-37177.92462,601,82.786623
-37753.693382,601,100.805629
-40780.793885,601,124.459918
-36599.736126,601,143.515319
-37133.91731,601,167.084946
-37522.036593,601,185.187116
-35746.060652,601,208.264548
-38598.066408,601,227.247474
-38425.082093,601,250.489776
-35213.892293,601,268.039065
-36114.183238,601,291.362731
-37068.382092,601,310.698323
-38315.804081,601,334.018753
-36071.489536,601,351.636081
-36258.945067,601,369.200983
-36441.70852,601,392.455246
-37028.831408,601,411.307045
-35878.645363,601,434.959425
-36270.023861,601,452.741027
-35831.547091,601,476.291456
-36227.186949,601,495.625071
-36193.62163,601,518.905517
-35958.363043,601,536.793932
-36168.961411,601,560.632518
-37625.798947,601,580.555759
-37741.451197,601,604.033626
-37807.967538,601,622.010081
-37386.599731,601,645.876014
-37116.511579,601,665.558394
-36607.422201,601,688.735643
-36197.635563,601,706.226872
-36778.941992,601,723.549209
-36895.341088,601,748.275469
-36166.744815,601,766.11528
-36219.842309,601,789.634055
-36014.631312,601,807.213913
-36108.092399,601,830.560727
-36569.202759,601,849.632801
-36308.462397,601,872.974913
-36384.36426,601,890.782606
-37893.456199,601,914.131613
-37147.61101,601,933.518631
-36626.51068,601,957.061425
-37699.20811,601,975.009742
-35846.214571,601,998.81316
-37875.963122,601,1018.159985
-36582.17553,601,1042.078066
-36793.7284,601,1060.019025
-38237.310465,601,1078.211019
-37100.612218,601,1104.440239
-36316.319311,601,1122.595639
-36801.08405,601,1146.593048
-36715.094167,601,1164.151672
-36639.28897,601,1187.769482
-36262.931511,601,1206.549301
-38225.480402,601,1229.716799
-36786.326521,601,1247.046146
-37627.076186,601,1270.050726
-37256.372842,601,1289.282702
-36613.888664,601,1312.690774
-36580.33628,601,1330.391214
-36896.090353,601,1353.821709
-37681.462332,601,1373.379881
-36716.180686,601,1391.264262
-38292.930896,601,1415.145254
-37362.891219,601,1433.130198
-36277.198032,601,1458.902086
-37723.069249,601,1476.786699
-35667.922984,601,1500.355236
-36628.527563,601,1518.514355
-36806.456603,601,1544.083565
-37589.942223,601,1562.313955
-36264.151079,601,1585.995728
-37461.900999,601,1604.165708
-37320.910053,601,1627.912347
-38265.650478,601,1647.103305
-37217.688693,601,1670.44596
-37279.597253,601,1687.970762
-37895.784594,601,1711.301168
-37485.360901,601,1730.550777
-37879.591114,601,1747.994083
-38107.21112,601,1771.486775
-36730.637792,601,1789.17947
