milestone,model_num_timesteps,approx_kl,clip_fraction,entropy_loss,explained_variance,policy_gradient_loss,value_loss,learning_rate
50000,50000,0.015311894,0.0616943359375,-0.6594786787033081,0.7709828615188599,-0.0054132911819033324,0.01373935016337782,0.0004744
100000,100000,0.010814612,0.0535302734375,-0.6335029202699661,0.9712534546852112,-0.004263821471249684,0.02402945808833465,0.0004488
150000,150000,0.009250065,0.052529296875,-0.5798709172010422,0.992357075214386,-0.0056607156689278786,0.0030684592516627162,0.0004104
200000,200000,0.007305099,0.05138671875,-0.5270466080307961,0.9948285222053528,-0.0056927040312439205,0.001985111589310691,0.00038480000000000003
250000,250000,0.008725637,0.0433935546875,-0.5124322643876076,0.996520459651947,-0.007372083710506559,0.0014601343381218613,0.00034640000000000007
300000,300000,0.010273004,0.0695361328125,-0.5019066438078881,0.9976933002471924,-0.007922454848885535,0.001340759804006666,0.0003208
350000,350000,0.009815063,0.056455078125,-0.4621298381686211,0.9977906346321106,-0.009259018986485899,0.0012489797553280368,0.0002824
400000,400000,0.010062084,0.0638818359375,-0.44357285887002945,0.9979202151298523,-0.008331555821932853,0.0011062110489001497,0.0002568
450000,450000,0.008631009,0.0513818359375,-0.43977793723344805,0.998296320438385,-0.0081246753083542,0.0008968296134844422,0.0002312
500000,500000,0.007432076,0.0433984375,-0.4026202780008316,0.9983757734298706,-0.009131319336593152,0.0008596303942613304,0.00019280000000000002
550000,550000,0.007744456,0.0486865234375,-0.3919703534245491,0.9981513023376465,-0.009477251071948557,0.0008401655300986022,0.00016720000000000003
600000,600000,0.005974579,0.0358740234375,-0.35510836243629457,0.9977697134017944,-0.008318869590293616,0.0007822536246385425,0.00012880000000000004
650000,650000,0.006006168,0.0352294921875,-0.36218000054359434,0.9982540607452393,-0.0074920157296583054,0.0007408813177607953,0.00010320000000000001
700000,700000,0.0046322076,0.03365234375,-0.3188043808937073,0.9981322884559631,-0.007141229165717959,0.0006780257244827226,6.480000000000003e-05
750000,750000,0.00418681,0.021728515625,-0.32804087549448013,0.9984718561172485,-0.005450093322433531,0.0006348897551652044,3.920000000000001e-05
800000,800000,0.00027695543,0.0,-0.3395482900738716,0.9987505078315735,-0.00039405448595061896,0.0007623826060444116,8.000000000000229e-07
