type,row,contrast,control,treatment,control_late_Jsys,treatment_late_Jsys,improvement_control_minus_treatment,improvement_pct
representation,E0,FUTURE,M0,M1,381.01200000000006,329.69933333333336,51.3126666666667,13.467467341361084
representation,E0,UQ_on_Shared,M1,M2,329.69933333333336,372.47,-42.77066666666667,-12.972627585941941
representation,E0,AC_on_Shared,M1,M3,329.69933333333336,315.29200000000003,14.407333333333327,4.369839995632382
representation,E0,AC_on_SharedUQ,M2,M4,372.47,354.98266666666666,17.487333333333368,4.694964247679912
representation,E0,UQ_on_SharedAC,M3,M4,315.29200000000003,354.98266666666666,-39.69066666666663,-12.588542261353483
representation,E1,FUTURE,M0,M1,65.52533333333334,83.55733333333333,-18.031999999999996,-27.519127462152035
representation,E1,UQ_on_Shared,M1,M2,83.55733333333333,88.80533333333332,-5.2479999999999905,-6.280717431543998
representation,E1,AC_on_Shared,M1,M3,83.55733333333333,92.36,-8.802666666666667,-10.534882236548158
representation,E1,AC_on_SharedUQ,M2,M4,88.80533333333332,182.1706666666667,-93.36533333333338,-105.13482673713297
representation,E1,UQ_on_SharedAC,M3,M4,92.36,182.1706666666667,-89.8106666666667,-97.2397863432944
representation,E2,FUTURE,M0,M1,92.67933333333335,87.43533333333333,5.244000000000014,5.658219380084751
representation,E2,UQ_on_Shared,M1,M2,87.43533333333333,158.23533333333333,-70.8,-80.97412945186157
representation,E2,AC_on_Shared,M1,M3,87.43533333333333,91.93666666666665,-4.501333333333321,-5.148185706769941
representation,E2,AC_on_SharedUQ,M2,M4,158.23533333333333,151.68266666666665,6.552666666666681,4.141089432195937
representation,E2,UQ_on_SharedAC,M3,M4,91.93666666666665,151.68266666666665,-59.745999999999995,-64.9860411152605
representation,E4,FUTURE,M0,M1,260.9526666666667,236.46466666666666,24.488000000000028,9.384077316703678
