milestone,model_num_timesteps,approx_kl,clip_fraction,entropy_loss,explained_variance,policy_gradient_loss,value_loss,learning_rate
50000,50000,0.014224556,0.090087890625,-0.669817726612091,0.4620945453643799,-0.004937545423163101,0.023378595444373786,0.0004744
100000,100000,0.008236462,0.0403173828125,-0.6403057461977005,0.9324381947517395,-0.00486335001885891,0.007362446074839681,0.0004488
150000,150000,0.01200525,0.05078125,-0.619387258887291,0.9853116869926453,-0.005594595358707011,0.007559066032990813,0.0004104
200000,200000,0.011247855,0.0581201171875,-0.5558953237533569,0.9907882213592529,-0.006860817542765289,0.002482723066350445,0.00038480000000000003
250000,250000,0.0106911855,0.08451171875,-0.5278311485052108,0.9951003789901733,-0.00875037674093619,0.0015745938639156521,0.00034640000000000007
300000,300000,0.011063503,0.0679638671875,-0.5232936006784439,0.9964250326156616,-0.009618445760570466,0.0012874724419089034,0.0003208
350000,350000,0.0109260315,0.05638671875,-0.4869519656896591,0.9970617890357971,-0.01088543863967061,0.001064268540358171,0.0002824
400000,400000,0.010013821,0.061923828125,-0.47929674983024595,0.9971711039543152,-0.010629198893439025,0.0010002560529392213,0.0002568
450000,450000,0.008552598,0.060107421875,-0.4973625937104225,0.9969078302383423,-0.010662303196731955,0.0009923462592996658,0.0002312
500000,500000,0.011133136,0.0597802734375,-0.48482965052127835,0.9976564645767212,-0.009361915413755924,0.0008783406560542062,0.00019280000000000002
550000,550000,0.008897646,0.0580517578125,-0.48250963777303696,0.9972770810127258,-0.011407282988075166,0.0008933792234165594,0.00016720000000000003
600000,600000,0.0076067806,0.0460498046875,-0.4450330790877342,0.9973673224449158,-0.010307696715462953,0.000835966985905543,0.00012880000000000004
650000,650000,0.006842821,0.04087890625,-0.4375624457001686,0.9976370334625244,-0.00944441560190171,0.0008083253545919433,0.00010320000000000001
700000,700000,0.007352342,0.0467138671875,-0.42323857575654983,0.9974721074104309,-0.00895080022746697,0.0007859137729974464,6.480000000000003e-05
750000,750000,0.0048164623,0.025068359375,-0.4196595650911331,0.9978206157684326,-0.0063529524113982916,0.0006924332369817421,3.920000000000001e-05
800000,800000,0.00014230647,0.0,-0.40964977085590365,0.9979838728904724,-0.00028770064003765585,0.000730371645768173,8.000000000000229e-07
